PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,label,cabin_type,status,is_alone,is_4_members,is_3or2_members,age*class,quad_fare
1,0,0.24236252545824846,0,1,0,S,A/5,n,Mr,0,0,1,0.24236252545824846,52.5625
2,1,0.6296296296296297,1,2,3,C,rare,C,Mrs,0,0,1,1.2592592592592593,5081.30885889
3,1,0.24236252545824846,1,1,1,S,SOTON,n,Miss,1,0,0,0.24236252545824846,62.805625
4,1,0.6296296296296297,1,2,3,S,none,C,Mrs,0,0,1,1.2592592592592593,2819.61
5,0,0.24236252545824846,0,2,1,S,none,n,Mr,1,0,0,0.4847250509164969,64.80250000000001
6,0,0.24236252545824846,0,1,1,Q,none,n,Mr,1,0,0,0.24236252545824846,71.54283888999998
7,0,0.6296296296296297,0,3,3,S,none,E,Mr,1,0,0,1.8888888888888888,2689.7189062499997
8,0,0.24236252545824846,0,0,2,S,none,n,Master,0,0,0,0.0,444.155625
9,1,0.24236252545824846,1,1,1,S,none,n,Mrs,0,0,1,0.24236252545824846,123.95036889000001
10,1,0.47282608695652173,1,0,2,C,none,n,Mrs,0,0,1,0.0,904.25301264
11,1,0.24236252545824846,1,0,2,S,rare,G,Miss,0,0,1,0.0,278.89
12,1,0.6296296296296297,1,3,2,S,none,C,Miss,1,0,0,1.8888888888888888,704.9025
13,0,0.24236252545824846,0,1,1,S,A/5,n,Mr,1,0,0,0.24236252545824846,64.80250000000001
14,0,0.24236252545824846,0,2,3,S,none,n,Mr,0,0,0,0.4847250509164969,978.1256249999999
15,0,0.24236252545824846,1,0,0,S,none,n,Miss,1,0,0,0.0,61.688457639999996
16,1,0.47282608695652173,1,3,2,S,none,n,Mrs,1,0,0,1.4184782608695652,256.0
17,0,0.24236252545824846,0,0,2,Q,none,n,Master,0,0,0,0.0,848.265625
18,1,0.47282608695652173,0,1,1,S,none,n,Mr,1,0,0,0.47282608695652173,169.0
19,0,0.24236252545824846,1,1,2,S,none,n,Mrs,0,0,1,0.24236252545824846,324.0
20,1,0.24236252545824846,1,1,0,C,none,n,Mrs,1,0,0,0.24236252545824846,52.200624999999995
21,0,0.47282608695652173,0,2,2,S,none,n,Mr,1,0,0,0.9456521739130435,676.0
22,1,0.47282608695652173,0,2,1,S,none,D,Mr,1,0,0,0.9456521739130435,169.0
23,1,0.24236252545824846,1,0,1,Q,none,n,Miss,1,0,0,0.0,64.46805264
24,1,0.6296296296296297,0,1,3,S,none,A,Mr,1,0,0,0.6296296296296297,1260.25
25,0,0.24236252545824846,1,0,2,S,none,n,Miss,0,0,0,0.0,444.155625
26,1,0.24236252545824846,1,2,3,S,none,n,Mrs,0,0,0,0.4847250509164969,985.17515625
27,0,0.24236252545824846,0,1,0,C,none,n,Mr,1,0,0,0.24236252545824846,52.200624999999995
28,0,0.6296296296296297,0,1,3,S,none,C,Mr,0,0,0,0.6296296296296297,69169.0
29,1,0.24236252545824846,1,1,0,Q,none,n,Miss,1,0,0,0.24236252545824846,62.081792639999996
30,0,0.24236252545824846,0,1,0,S,none,n,Mr,1,0,0,0.24236252545824846,62.34365764
31,0,0.6296296296296297,0,2,2,C,rare,n,Mr,1,0,0,1.2592592592592593,768.44275264
32,1,0.6296296296296297,1,2,3,C,rare,B,Mrs,0,0,1,1.2592592592592593,21468.344832640003
33,1,0.24236252545824846,1,1,0,Q,none,n,Miss,1,0,0,0.24236252545824846,60.0625
34,0,0.47282608695652173,0,4,1,S,CA,n,Mr,1,0,0,1.891304347826087,110.25
35,0,0.6296296296296297,0,1,3,C,rare,n,Mr,0,0,1,0.6296296296296297,6752.04037264
36,0,0.6296296296296297,0,2,3,S,none,n,Mr,0,0,1,1.2592592592592593,2704.0
37,1,0.24236252545824846,0,1,0,C,none,n,Mr,1,0,0,0.24236252545824846,52.26133263999999
38,0,0.24236252545824846,0,1,1,S,A/5,n,Mr,1,0,0,0.24236252545824846,64.80250000000001
39,0,0.24236252545824846,1,1,2,S,none,n,Miss,0,0,1,0.24236252545824846,324.0
40,1,0.24236252545824846,1,0,1,C,none,n,Miss,0,0,1,0.0,126.37581888999999
41,0,0.24236252545824846,1,2,1,S,none,n,Mrs,0,0,1,0.4847250509164969,89.77562499999999
42,0,0.47282608695652173,1,1,2,S,none,n,Mrs,0,0,1,0.47282608695652173,441.0
43,0,0.24236252545824846,0,1,0,C,none,n,Mr,1,0,0,0.24236252545824846,62.34365764
44,1,0.47282608695652173,1,0,3,C,SC/PARIS,n,Miss,0,1,0,0.0,1728.82987264
45,1,0.24236252545824846,1,1,0,Q,none,n,Miss,1,0,0,0.24236252545824846,62.081792639999996
46,0,0.24236252545824846,0,1,1,S,rare,n,Mr,1,0,0,0.24236252545824846,64.80250000000001
47,0,0.24236252545824846,0,1,2,Q,none,n,Mr,0,0,1,0.24236252545824846,240.25
48,1,0.24236252545824846,1,1,0,Q,none,n,Miss,1,0,0,0.24236252545824846,60.0625
49,0,0.24236252545824846,0,1,2,C,none,n,Mr,0,0,1,0.24236252545824846,469.98771264000004
